Employee_ID,Employee_Name,Gender,Department,Position,Branch_ID,Hire_Date,Salary,Performance_Rating,Monthly_Target
E055,Employee 55,Male,Customer Service,Senior,B06,8/6/2025 0:00,13871,4.1,132012
E056,Employee 56,Female,Sales,Senior,B11,4/23/2024 0:00,17635,3.7,163222
E057,Employee 57,Female,Customer Service,Manager,B10,8/5/2025 0:00,8265,3.4,157577
E058,Employee 58,Female,Customer Service,Manager,B05,1/30/2022 0:00,5680,4.2,54483
E059,Employee 59,Male,Operations,Specialist,B13,1/15/2020 0:00,9233,4.4,110462
E060,Employee 60,Female,Logistics,Senior,B12,1/30/2024 0:00,7285,4.1,166840
E061,Employee 61,Female,Customer Service,Senior,B12,10/16/2025 0:00,4515,3.6,116215
E062,Employee 62,Male,Sales,Senior,B10,3/5/2020 0:00,14488,4.5,77254
E063,Employee 63,Female,Logistics,Specialist,B07,12/3/2020 0:00,14707,4.9,80722
E064,Employee 64,Female,Customer Service,Manager,B04,9/6/2022 0:00,17830,3.8,130014
E065,Employee 65,Female,Sales,Senior,B15,8/8/2024 0:00,4649,3.4,70468
E066,Employee 66,Female,Customer Service,Senior,B11,8/28/2025 0:00,7306,4,83983
E067,Employee 67,Male,Customer Service,Specialist,B12,4/28/2023 0:00,9798,4.8,176065
E068,Employee 68,Male,Logistics,Specialist,B15,4/25/2021 0:00,16621,3.4,78557
E069,Employee 69,Male,Marketing,Specialist,B03,12/3/2023 0:00,9877,3.8,109919
E070,Employee 70,Male,Logistics,Specialist,B13,7/5/2023 0:00,8225,3.1,172436
E071,Employee 71,Female,Logistics,Manager,B03,9/16/2025 0:00,7671,4.6,146089
E072,Employee 72,Male,Sales,Manager,B04,8/12/2025 0:00,10101,3.8,188215
E073,Employee 73,Female,Operations,Manager,B07,10/18/2023 0:00,8154,4.7,104678
E074,Employee 74,Male,Marketing,Specialist,B13,8/17/2024 0:00,17229,4.7,85220
E075,Employee 75,Male,Sales,Senior,B09,7/17/2020 0:00,15810,4.8,88830
E076,Employee 76,Male,Marketing,Manager,B10,1/6/2024 0:00,4139,3.7,136914
E077,Employee 77,Male,Customer Service,Specialist,B12,8/17/2024 0:00,16625,4.2,176404
E078,Employee 78,Male,Operations,Specialist,B14,2/16/2024 0:00,11967,4.1,102730
E079,Employee 79,Male,Logistics,Specialist,B10,11/24/2025 0:00,11567,3.5,71003
E080,Employee 80,Female,Sales,Specialist,B03,5/8/2025 0:00,8363,3.2,178573
E081,Employee 81,Male,Operations,Specialist,B12,7/9/2022 0:00,11550,3.6,146418
E082,Employee 82,Female,Logistics,Specialist,B07,10/22/2022 0:00,17253,5,114681
E083,Employee 83,Female,Customer Service,Senior,B04,8/30/2023 0:00,17961,4.2,167186
E084,Employee 84,Male,Customer Service,Senior,B10,1/6/2022 0:00,15377,3.6,111579
E085,Employee 85,Female,Operations,Specialist,B13,1/7/2023 0:00,14033,3.6,146934
E086,Employee 86,Male,Logistics,Manager,B10,1/16/2023 0:00,7033,4.8,69094
E087,Employee 87,Female,Sales,Manager,B03,7/23/2023 0:00,9103,4.8,93841
E088,Employee 88,Male,Customer Service,Manager,B03,7/22/2021 0:00,10508,3.3,144294
E089,Employee 89,Male,Logistics,Senior,B08,9/12/2024 0:00,14606,3.6,181030
E090,Employee 90,Male,Customer Service,Senior,B09,10/27/2020 0:00,5141,3.3,138765
E091,Employee 91,Female,Logistics,Specialist,B15,2/26/2020 0:00,13432,3.5,180795
E092,Employee 92,Male,Operations,Senior,B07,9/15/2023 0:00,15072,4.8,160243
E093,Employee 93,Male,Marketing,Senior,B14,6/22/2024 0:00,17705,4.4,177998
E094,Employee 94,Female,Customer Service,Senior,B14,6/4/2025 0:00,10440,3.9,67935
E095,Employee 95,Female,Customer Service,Specialist,B05,3/20/2025 0:00,14621,3,159687
E096,Employee 96,Male,Logistics,Senior,B12,12/10/2024 0:00,11067,4.1,98285
E097,Employee 97,Female,Logistics,Specialist,B14,7/16/2021 0:00,4782,4.4,99213
E098,Employee 98,Male,Operations,Senior,B04,8/16/2020 0:00,8279,3.9,193355
E099,Employee 99,Male,Customer Service,Senior,B04,1/22/2023 0:00,10381,4.9,164518
E100,Employee 100,Female,Customer Service,Specialist,B06,6/11/2020 0:00,7320,4.8,90618
E101,Employee 101,Female,Sales,Manager,B14,2/4/2023 0:00,10651,3.7,178352
E102,Employee 102,Female,Customer Service,Manager,B12,1/9/2025 0:00,15879,4.3,117083
E103,Employee 103,Female,Operations,Senior,B04,11/7/2021 0:00,4765,3.5,182207
E104,Employee 104,Female,Sales,Specialist,B03,12/20/2020 0:00,8420,4.1,163194
E105,Employee 105,Male,Sales,Manager,B12,4/21/2022 0:00,5939,3.8,102129
E106,Employee 106,Female,Operations,Specialist,B13,1/22/2024 0:00,13971,3.7,72786
E107,Employee 107,Male,Operations,Senior,B09,5/1/2024 0:00,16199,4.6,150427
E108,Employee 108,Male,Customer Service,Specialist,B05,1/6/2021 0:00,9719,3.1,64150
E109,Employee 109,Male,Logistics,Senior,B03,8/24/2024 0:00,5333,4.9,64819
E110,Employee 110,Female,Marketing,Senior,B14,10/27/2024 0:00,11061,4.1,159295
E111,Employee 111,Male,Operations,Specialist,B02,4/4/2021 0:00,16334,4.5,87083
E112,Employee 112,Male,Operations,Specialist,B03,2/27/2020 0:00,4747,4,94575
E113,Employee 113,Female,Sales,Specialist,B09,12/12/2020 0:00,4558,3.5,118982
E114,Employee 114,Female,Logistics,Manager,B07,11/23/2022 0:00,16280,3.8,98054
E115,Employee 115,Female,Sales,Manager,B04,8/5/2025 0:00,15597,3.1,109116
E116,Employee 116,Male,Customer Service,Senior,B02,10/12/2021 0:00,11028,5,122255
E117,Employee 117,Male,Customer Service,Senior,B10,8/5/2022 0:00,8014,3.8,102599
E118,Employee 118,Male,Logistics,Manager,B03,7/21/2021 0:00,5874,4.7,123828
E119,Employee 119,Female,Logistics,Senior,B15,1/7/2025 0:00,5998,3.3,197990
E120,Employee 120,Female,Marketing,Specialist,B03,6/10/2023 0:00,9981,5,117658
E121,Employee 121,Male,Marketing,Senior,B10,11/15/2023 0:00,15562,4.6,197008
E122,Employee 122,Male,Operations,Senior,B10,9/3/2020 0:00,14521,4,77549
E123,Employee 123,Female,Customer Service,Manager,B07,2/28/2021 0:00,11819,3.7,133308
E124,Employee 124,Female,Customer Service,Senior,B08,1/19/2020 0:00,12295,4.9,63771
E125,Employee 125,Female,Customer Service,Manager,B12,8/18/2021 0:00,10025,3.1,166003
E126,Employee 126,Male,Marketing,Specialist,B10,8/22/2022 0:00,13084,3.9,197917
E127,Employee 127,Female,Customer Service,Senior,B11,8/27/2025 0:00,17225,4.5,154605
E128,Employee 128,Female,Operations,Specialist,B10,5/21/2020 0:00,12576,3.8,76190
E129,Employee 129,Female,Sales,Specialist,B03,4/9/2020 0:00,5204,4.4,101256
E130,Employee 130,Male,Customer Service,Manager,B11,6/10/2022 0:00,12925,4,60263
E131,Employee 131,Female,Customer Service,Senior,B04,11/16/2024 0:00,17104,3.6,174949
E132,Employee 132,Female,Sales,Senior,B03,3/1/2020 0:00,10826,4.5,165664
E133,Employee 133,Female,Operations,Senior,B10,7/11/2020 0:00,4072,4.4,172255
E134,Employee 134,Male,Operations,Manager,B01,8/8/2023 0:00,4491,4.6,143963
E135,Employee 135,Male,Logistics,Senior,B02,7/14/2023 0:00,17319,3.4,59636
E136,Employee 136,Male,Sales,Senior,B01,2/6/2022 0:00,6089,3.8,146395
E137,Employee 137,Female,Operations,Manager,B04,6/11/2021 0:00,15219,3.8,157269
E138,Employee 138,Female,Marketing,Specialist,B14,4/3/2025 0:00,6986,4.6,166495
E139,Employee 139,Male,Logistics,Manager,B04,11/30/2025 0:00,12409,4,132611
E140,Employee 140,Male,Customer Service,Manager,B11,6/6/2021 0:00,11136,3.4,174329
E141,Employee 141,Male,Marketing,Specialist,B02,9/4/2020 0:00,8044,4.2,128746
E142,Employee 142,Female,Sales,Senior,B02,10/11/2020 0:00,9755,4.9,134198
E143,Employee 143,Male,Customer Service,Manager,B11,10/6/2023 0:00,9548,4.3,192866
E144,Employee 144,Male,Customer Service,Senior,B01,2/16/2025 0:00,13364,4.9,158160
E145,Employee 145,Male,Marketing,Specialist,B09,11/16/2023 0:00,16952,3.3,128688
E146,Employee 146,Male,Operations,Manager,B01,4/7/2024 0:00,5817,3.1,95578
E147,Employee 147,Female,Operations,Manager,B09,2/29/2024 0:00,5875,4.1,59397
E148,Employee 148,Female,Sales,Specialist,B09,1/7/2021 0:00,17842,4.9,121677
E149,Employee 149,Male,Operations,Senior,B13,11/7/2022 0:00,14260,4.1,76005
E150,Employee 150,Male,Logistics,Specialist,B02,3/24/2023 0:00,13261,3.8,57172
